,district,rooms,size,level,max_levels,price
82,Chilonzor,2,45.0,4,4,45000
83,Chilonzor,1,46.0,2,5,30000
84,Chilonzor,2,50.0,2,4,34500
85,Chilonzor,1,36.0,2,4,27000
86,Uchtepa,4,80.0,6,9,59500
87,Uchtepa,3,72.0,3,9,48000
88,Uchtepa,4,78.0,5,5,47299
89,Chilonzor,2,46.0,4,5,37000
90,Chilonzor,2,60.0,2,4,38000
91,Olmzor,2,58.0,5,9,29500
92,Chilonzor,2,70.0,2,7,56000
93,Yakkasaroy,2,68.0,6,9,45000
94,Uchtepa,4,100.0,3,5,61500
95,Chilonzor,3,68.0,5,5,46500
96,Uchtepa,3,70.0,4,12,51000
97,Chilonzor,3,90.0,5,9,58400
98,Chilonzor,3,60.0,5,5,47000
99,Uchtepa,4,80.0,5,5,52500
100,Uchtepa,3,74.0,3,5,50000
101,Chilonzor,2,48.0,2,5,41500
102,Chilonzor,4,94.0,9,9,45000
103,Uchtepa,3,65.0,4,9,47500
104,Chilonzor,4,85.0,3,4,52500
105,Uchtepa,1,42.0,5,5,26000
106,Chilonzor,4,110.0,3,4,105000
107,Uchtepa,3,70.0,4,4,42000
108,Chilonzor,3,68.0,2,5,53500
109,Yakkasaroy,2,48.0,5,9,23000
110,Yashnobod,1,20.0,3,3,12500
111,Mirobod,3,110.0,4,7,107000
112,Chilonzor,2,46.0,3,4,35000
113,Chilonzor,4,125.0,5,5,70000
114,Mirzo Ulugbek,2,72.0,18,19,55000
115,Mirzo Ulugbek,2,64.67,7,9,39414
116,Yunusobod,2,70.0,4,9,60000
117,Yunusobod,1,50.0,7,9,37000
118,Mirzo Ulugbek,2,51.0,2,4,49000
119,Mirzo Ulugbek,1,22.0,1,2,18000
120,Chilonzor,2,54.0,1,4,42500
121,Chilonzor,1,30.0,3,5,34500
122,Chilonzor,1,42.0,5,9,37000
123,Yakkasaroy,3,70.0,2,4,70000
124,Shayhontohur,3,68.0,2,4,45800
125,Chilonzor,1,30.0,4,4,24000
126,Uchtepa,1,52.0,1,4,58000
127,Chilonzor,4,72.0,4,4,55500
128,Chilonzor,4,76.0,2,4,68000
129,Uchtepa,2,48.0,4,4,31000
130,Chilonzor,2,66.0,3,9,47000
131,Chilonzor,3,60.0,3,5,47000
132,Chilonzor,2,37.0,1,4,41000
133,Mirzo Ulugbek,1,40.0,3,4,24000
134,Yunusobod,2,61.0,1,4,55000
135,Chilonzor,1,32.0,2,4,28500
136,Chilonzor,3,65.0,4,4,42000
137,Uchtepa,3,66.0,2,5,67000
138,Chilonzor,3,70.0,4,4,46500
139,Chilonzor,3,66.0,4,4,50500
140,Uchtepa,3,65.0,1,4,40000
141,Yashnobod,1,37.0,5,8,13071
142,Mirzo Ulugbek,2,69.65,4,9,45188
143,Uchtepa,4,88.0,4,5,53000
144,Yakkasaroy,1,38.0,2,5,25600
145,Mirobod,2,61.0,6,9,52000
146,Mirzo Ulugbek,2,45.0,3,7,44000
147,Sergeli,3,69.0,2,9,40000
148,Mirzo Ulugbek,2,55.13,5,9,35226
149,Chilonzor,3,67.0,4,4,54000
150,Shayhontohur,1,38.0,5,5,22500
151,Mirzo Ulugbek,2,67.0,2,4,36500
152,Yakkasaroy,2,54.0,4,9,40000
153,Chilonzor,2,58.0,1,9,35000
154,Mirobod,4,100.0,5,8,142000
155,Chilonzor,4,90.0,4,5,52000
156,Olmzor,3,91.0,3,3,85000
157,Shayhontohur,4,111.0,7,8,110000
158,Sergeli,2,54.0,6,7,36000
159,Yashnobod,3,69.0,5,5,52000
160,Yunusobod,5,107.0,5,5,50000
161,Mirzo Ulugbek,3,80.0,2,5,55000
162,Yunusobod,2,63.0,5,9,42000
163,Mirobod,3,74.0,5,16,69000
164,Yashnobod,2,58.0,5,5,28900
165,Mirzo Ulugbek,2,62.0,9,9,34000
166,Mirzo Ulugbek,3,107.0,2,8,85000
167,Olmzor,1,40.41,2,4,25000
168,Chilonzor,2,54.0,2,4,39000
169,Mirzo Ulugbek,1,40.0,1,4,60000
170,Mirzo Ulugbek,2,50.0,1,5,36500
171,Yashnobod,3,75.0,5,9,42000
172,Mirzo Ulugbek,3,84.0,7,8,85000
173,Mirzo Ulugbek,3,117.0,2,5,125000
174,Mirzo Ulugbek,3,70.0,5,5,37000
175,Mirzo Ulugbek,1,47.0,2,9,42000
176,Chilonzor,2,56.0,2,5,36000
177,Chilonzor,1,42.0,3,9,28000
178,Chilonzor,2,60.0,5,9,34000
179,Chilonzor,1,32.0,2,5,28500
180,Chilonzor,1,42.0,2,5,28500
181,Chilonzor,2,60.0,2,9,34500
182,Chilonzor,2,54.0,1,4,34500
183,Chilonzor,1,42.0,1,5,25500
184,Chilonzor,2,60.0,2,9,43500
185,Mirobod,2,72.0,7,9,63000
186,Yashnobod,3,80.0,1,4,39999
187,Chilonzor,1,33.0,2,4,24500
188,Yunusobod,2,61.0,3,5,41000
189,Mirzo Ulugbek,4,187.0,2,5,210000
190,Mirzo Ulugbek,2,63.0,5,5,36000
191,Olmzor,2,60.0,5,5,34000
192,Chilonzor,1,29.0,2,4,23000
193,Mirzo Ulugbek,2,63.0,5,5,36000
194,Uchtepa,2,48.0,4,5,28500
195,Chilonzor,2,45.0,4,4,47000
196,Olmzor,4,122.0,5,5,95000
197,Yunusobod,1,42.0,2,4,44000
198,Mirzo Ulugbek,2,50.0,1,4,45000
199,Mirzo Ulugbek,5,100.0,4,4,48000
200,Mirzo Ulugbek,2,60.0,4,4,32000
201,Yakkasaroy,2,50.0,2,4,47000
202,Mirzo Ulugbek,3,78.0,5,9,70500
203,Yakkasaroy,4,164.0,5,6,170000
204,Mirzo Ulugbek,2,60.0,3,5,30500
205,Chilonzor,1,42.0,2,4,26000
206,Chilonzor,3,70.0,4,4,37500
207,Chilonzor,1,35.0,1,5,26500
208,Chilonzor,2,47.0,2,4,32000
209,Chilonzor,1,36.0,2,5,26500
210,Chilonzor,2,50.0,2,5,34500
211,Chilonzor,2,52.0,2,4,36500
212,Yashnobod,2,46.0,2,4,24500
213,Chilonzor,3,92.0,3,9,42500
214,Chilonzor,3,70.0,1,4,46000
215,Yunusobod,3,70.0,2,4,38500
216,Mirzo Ulugbek,2,60.0,7,8,36000
217,Mirzo Ulugbek,2,55.0,3,5,35000
218,Mirzo Ulugbek,2,63.0,4,9,55500
219,Yakkasaroy,2,89.0,4,12,81772
220,Yakkasaroy,1,55.0,1,12,50533
221,Mirzo Ulugbek,3,100.0,2,6,119000
222,Mirzo Ulugbek,4,208.0,2,3,93000
223,Chilonzor,1,35.0,1,4,23800
224,Chilonzor,2,44.0,3,4,32900
225,Yangihayot,2,61.0,3,7,36000
226,Yashnobod,4,100.0,2,9,65000
227,Chilonzor,1,35.0,1,4,29800
228,Mirzo Ulugbek,4,86.0,3,5,63000
229,Mirzo Ulugbek,3,100.0,1,5,80000
230,Olmzor,5,110.0,5,5,63500
231,Mirobod,3,75.0,6,9,110000
232,Olmzor,3,70.0,1,5,62000
233,Shayhontohur,3,70.0,4,5,36999
234,Yakkasaroy,3,150.0,3,6,170000
235,Sergeli,2,56.1,7,7,37000
236,Yunusobod,4,83.0,3,5,54000
237,Uchtepa,2,49.0,4,4,23000
238,Chilonzor,2,46.0,2,4,38500
239,Chilonzor,2,46.0,4,4,36200
240,Chilonzor,3,68.0,4,4,45000
241,Chilonzor,3,65.0,1,5,45000
242,Chilonzor,4,76.0,4,4,43000
243,Chilonzor,1,42.0,2,5,26000
244,Chilonzor,2,55.0,1,4,67000
245,Chilonzor,4,76.0,5,5,45500
246,Chilonzor,2,49.0,2,6,47000
247,Chilonzor,4,80.0,2,4,70000
248,Chilonzor,5,142.0,5,5,120000
249,Chilonzor,3,60.0,3,4,44000
250,Mirzo Ulugbek,3,72.0,4,5,47000
251,Mirobod,4,115.0,6,9,84000
252,Yashnobod,4,100.0,2,3,77000
253,Mirzo Ulugbek,2,63.0,5,5,35000
254,Mirzo Ulugbek,3,66.0,3,5,56000
255,Mirzo Ulugbek,3,70.0,5,5,46500
256,Mirzo Ulugbek,3,62.0,5,5,35000
257,Chilonzor,2,50.0,1,4,34000
258,Yunusobod,3,78.0,4,4,56000
259,Mirobod,2,62.0,2,9,63000
260,Mirobod,8,350.0,2,12,260000
261,Yashnobod,3,63.0,4,4,40000
262,Mirzo Ulugbek,4,91.0,1,5,75000
263,Shayhontohur,3,81.0,6,9,54900
264,Mirzo Ulugbek,4,86.0,3,4,42000
265,Mirzo Ulugbek,2,54.0,3,5,54500
266,Mirobod,3,90.0,3,5,105000
267,Mirzo Ulugbek,2,40.0,2,5,37000
268,Yunusobod,1,45.0,5,5,24000
269,Olmzor,3,89.55,7,9,40000
270,Mirzo Ulugbek,4,92.0,3,5,67000
271,Mirzo Ulugbek,4,95.0,1,4,77000
272,Mirzo Ulugbek,4,102.0,4,9,65000
273,Olmzor,2,65.0,5,9,31300
274,Mirzo Ulugbek,2,62.0,5,5,33500
275,Olmzor,2,56.0,3,5,38500
276,Mirzo Ulugbek,2,59.0,2,8,41500
277,Chilonzor,3,96.0,6,9,64500
278,Yashnobod,1,37.0,4,8,13075
279,Yakkasaroy,2,70.0,8,9,48000
280,Mirobod,2,78.0,4,8,77000
281,Yakkasaroy,4,145.0,7,8,115000
282,Mirzo Ulugbek,3,100.0,2,5,128000
283,Yashnobod,2,54.0,4,4,33000
284,Mirobod,3,70.0,2,4,66000
285,Yakkasaroy,5,116.0,3,5,80000
286,Chilonzor,3,72.0,8,9,37700
287,Shayhontohur,1,70.0,6,7,60000
288,Mirzo Ulugbek,2,60.0,9,9,28500
289,Chilonzor,2,52.0,4,5,38000
290,Yakkasaroy,3,95.0,7,8,65000
291,Chilonzor,2,44.0,1,4,38000
292,Chilonzor,2,42.0,3,4,36500
293,Chilonzor,2,43.0,2,4,36500
294,Chilonzor,3,77.0,5,5,95000
295,Chilonzor,1,24.0,3,4,20000
296,Chilonzor,1,30.0,1,4,26000
297,Chilonzor,2,41.0,1,4,36000
298,Yunusobod,2,46.0,2,4,36000
299,Chilonzor,2,42.0,2,4,36500
300,Yunusobod,2,51.0,3,4,45000
301,Uchtepa,3,62.0,5,5,33500
302,Yashnobod,1,50.0,5,12,25000
303,Yunusobod,4,107.0,6,9,75500
304,Yunusobod,5,255.0,1,8,270000
305,Yunusobod,6,266.0,1,8,285000
306,Olmzor,1,38.0,6,9,27500
307,Yakkasaroy,4,210.0,4,8,265000
308,Yakkasaroy,4,110.0,7,9,75000
309,Olmzor,2,55.62,5,9,31000
310,Sergeli,2,66.0,8,9,31507
311,Yakkasaroy,2,53.0,3,5,54000
312,Olmzor,4,119.0,2,5,110000
313,Mirzo Ulugbek,2,56.0,1,4,35000
314,Mirzo Ulugbek,3,68.0,4,4,24000
315,Mirobod,3,125.0,7,12,129999
316,Yakkasaroy,4,140.0,8,10,105000
317,Yakkasaroy,4,141.0,7,7,95000
318,Uchtepa,4,74.0,4,4,47500
319,Mirzo Ulugbek,2,63.0,5,5,34997
320,Uchtepa,2,41.0,4,4,32000
321,Mirobod,2,52.0,3,5,37000
322,Chilonzor,3,68.0,3,4,39000
323,Mirobod,4,110.0,1,4,63500
324,Mirzo Ulugbek,2,60.0,6,9,35500
325,Chilonzor,1,54.0,9,9,35000
326,Mirzo Ulugbek,2,60.0,5,5,35000
327,Chilonzor,2,46.0,3,4,37500
328,Chilonzor,4,94.0,4,5,73000
329,Chilonzor,2,58.0,1,9,40000
330,Mirzo Ulugbek,4,92.0,3,5,62000
331,Chilonzor,3,70.0,3,4,55000
332,Chilonzor,2,42.0,4,4,37400
333,Chilonzor,2,42.0,4,4,35800
334,Chilonzor,2,75.0,4,12,60000
335,Yunusobod,3,72.0,1,9,100000
336,Uchtepa,3,85.0,7,9,52500
337,Yunusobod,2,65.0,5,9,44000
338,Chilonzor,2,65.0,9,9,56600
339,Chilonzor,2,46.0,3,4,42000
340,Mirzo Ulugbek,2,60.94,9,9,36542
341,Mirobod,4,165.0,1,8,264999
342,Mirobod,4,215.0,5,8,259999
343,Yashnobod,2,59.0,4,4,26500
344,Mirzo Ulugbek,2,66.82,5,7,65000
345,Chilonzor,5,98.0,5,9,70000
346,Mirzo Ulugbek,2,48.0,1,4,34499
347,Uchtepa,3,92.0,8,9,46000
348,Mirobod,4,128.0,1,7,87000
349,Mirobod,2,56.0,2,5,37500
350,Yashnobod,1,45.0,1,5,36500
351,Chilonzor,3,70.0,2,4,48000
352,Uchtepa,2,56.0,2,5,37500
353,Mirzo Ulugbek,4,95.0,1,5,78000
354,Mirobod,2,100.0,8,9,150000
355,Mirzo Ulugbek,4,97.0,5,5,80000
356,Mirzo Ulugbek,4,130.0,4,9,98500
357,Yunusobod,3,67.0,4,4,42000
358,Mirzo Ulugbek,4,95.0,5,5,50000
359,Yunusobod,2,62.0,4,9,55000
360,Yakkasaroy,3,75.0,10,16,70000
361,Yakkasaroy,3,70.0,6,6,81999
362,Yashnobod,2,59.0,2,7,22534
363,Yunusobod,2,55.0,1,9,43000
364,Yunusobod,2,59.0,5,5,37000
365,Chilonzor,2,44.0,4,4,29500
366,Shayhontohur,2,30.0,3,3,38500
367,Yakkasaroy,2,56.0,2,5,38000
368,Uchtepa,3,60.0,4,4,40000
369,Mirobod,2,70.0,3,4,83000
370,Mirzo Ulugbek,2,64.0,4,5,34500
371,Chilonzor,3,100.0,1,12,57000
372,Chilonzor,3,68.0,2,4,50000
373,Yunusobod,4,115.0,3,9,64000
374,Mirzo Ulugbek,2,60.0,4,4,34000
375,Mirzo Ulugbek,5,100.0,4,4,48000
376,Mirzo Ulugbek,2,50.0,2,4,32500
377,Mirobod,3,105.0,7,9,125000
378,Mirzo Ulugbek,2,70.0,4,7,87000
379,Mirzo Ulugbek,5,137.0,3,7,105000
380,Yashnobod,1,36.0,4,9,26000
381,Yakkasaroy,2,52.0,1,3,55000
382,Yangihayot,2,47.14,4,4,28000
383,Chilonzor,3,65.0,1,5,45000
384,Mirzo Ulugbek,4,130.0,6,9,115000
385,Mirzo Ulugbek,4,110.0,4,6,125000
386,Yakkasaroy,2,61.0,2,9,53000
387,Mirobod,2,40.0,1,1,23500
388,Yakkasaroy,3,75.0,7,9,62000
389,Chilonzor,2,54.0,4,4,37500
390,Yunusobod,2,64.0,3,4,54962
391,Chilonzor,1,30.0,3,4,31000
392,Chilonzor,3,68.0,4,4,46500
393,Yunusobod,2,50.0,1,4,38000
394,Mirobod,2,44.0,6,9,60000
395,Mirzo Ulugbek,1,35.0,2,2,20600
396,Yakkasaroy,3,70.0,4,5,68500
397,Mirzo Ulugbek,1,46.0,1,5,33000
398,Mirzo Ulugbek,3,71.0,4,4,40200
399,Chilonzor,1,50.0,5,5,21500
400,Yakkasaroy,1,43.0,6,16,34000
401,Yunusobod,2,60.0,9,9,32000
402,Yunusobod,2,60.0,1,4,31999
403,Yunusobod,2,57.0,4,4,32000
404,Yunusobod,3,75.0,4,9,80000
405,Yunusobod,2,62.0,4,4,33000
406,Yakkasaroy,2,43.0,6,16,34000
407,Chilonzor,2,48.0,1,4,34000
408,Yunusobod,3,70.0,1,9,68000
409,Yunusobod,2,54.0,2,4,33000
410,Yunusobod,2,50.0,4,4,33500
411,Yunusobod,2,50.0,2,4,33500
412,Chilonzor,2,60.0,2,9,36000
413,Chilonzor,2,60.0,1,9,41500
414,Chilonzor,2,68.0,1,4,41000
415,Chilonzor,2,50.0,1,5,34500
416,Chilonzor,2,50.0,4,4,32500
417,Chilonzor,2,60.0,4,5,38000
418,Yunusobod,4,122.0,8,9,134000
419,Yakkasaroy,3,88.0,5,5,45500
420,Yakkasaroy,4,118.0,8,12,102711
421,Yunusobod,2,55.0,1,3,42500
422,Yunusobod,2,60.0,4,4,34000
423,Yakkasaroy,2,47.0,4,4,47500
424,Yunusobod,2,78.0,1,9,34000
425,Yakkasaroy,2,62.0,8,9,42000
426,Yunusobod,2,50.0,4,4,34000
427,Yunusobod,2,60.0,4,4,34000
428,Yunusobod,2,60.0,3,4,34500
429,Yunusobod,2,78.0,1,9,33998
430,Yunusobod,2,50.0,4,4,34000
431,Yunusobod,2,60.0,4,4,34000
432,Yashnobod,3,75.0,5,9,64700
433,Yunusobod,4,82.0,1,4,85500
434,Chilonzor,1,36.0,1,5,25500
435,Chilonzor,1,36.0,2,5,28500
436,Chilonzor,1,42.0,4,4,28000
437,Chilonzor,1,46.0,2,5,31500
438,Chilonzor,2,50.0,1,5,36000
439,Yakkasaroy,3,75.0,5,9,55000
440,Chilonzor,3,75.0,9,9,60000
441,Yunusobod,2,64.0,5,9,37000
442,Yakkasaroy,2,60.0,4,9,47000
443,Yunusobod,4,90.0,4,4,53000
444,Mirzo Ulugbek,4,86.0,3,5,50000
445,Mirzo Ulugbek,3,72.0,1,4,46000
446,Uchtepa,5,105.0,7,9,85000
447,Yakkasaroy,1,34.0,2,4,29000
448,Mirzo Ulugbek,1,28.0,1,4,21500
449,Chilonzor,2,47.0,4,4,35500
450,Chilonzor,2,42.0,1,4,39600
451,Chilonzor,3,110.0,2,8,160000
452,Mirobod,1,40.0,2,9,42000
453,Chilonzor,2,50.0,4,4,40500
454,Chilonzor,1,29.0,4,4,24500
455,Chilonzor,2,42.0,4,4,34000
456,Chilonzor,2,42.0,3,4,36999
457,Chilonzor,3,65.0,4,5,30000
458,Yunusobod,3,65.0,3,5,45000
459,Chilonzor,2,45.0,3,5,26000
460,Mirzo Ulugbek,4,90.0,3,4,133000
461,Mirzo Ulugbek,4,86.0,4,5,60000
462,Mirzo Ulugbek,2,40.0,4,4,34000
463,Chilonzor,1,35.0,2,4,20000
464,Olmzor,5,100.0,1,4,71000
465,Yakkasaroy,2,78.0,4,8,100000
466,Yakkasaroy,1,20.0,2,4,14500
467,Olmzor,2,40.0,3,4,27500
468,Shayhontohur,3,75.0,2,4,55000
469,Mirobod,3,90.0,7,9,92000
470,Mirzo Ulugbek,2,137.0,2,6,125000
471,Mirobod,4,152.0,4,9,140000
472,Mirobod,3,90.0,3,5,105000
473,Yakkasaroy,2,55.0,3,4,41000
474,Mirzo Ulugbek,3,90.0,2,9,51000
475,Chilonzor,2,48.0,3,4,43000
476,Mirzo Ulugbek,3,78.0,5,5,39000
477,Yakkasaroy,1,38.0,2,5,25600
478,Chilonzor,3,70.0,3,5,68000
479,Mirzo Ulugbek,2,50.0,1,4,30000
480,Chilonzor,2,55.0,4,4,39000
481,Chilonzor,4,90.0,5,9,50000
482,Chilonzor,1,37.0,1,4,25500
483,Mirzo Ulugbek,3,80.0,3,4,120000
484,Chilonzor,4,105.0,7,9,95000
485,Uchtepa,1,45.0,5,9,27000
486,Chilonzor,2,42.0,1,4,36800
487,Mirzo Ulugbek,2,40.0,1,3,26000
488,Chilonzor,1,29.0,2,4,24200
489,Uchtepa,3,72.0,5,5,45000
490,Mirzo Ulugbek,2,40.0,5,5,31500
491,Yunusobod,3,78.0,4,4,55000
492,Chilonzor,3,70.0,4,5,32000
493,Chilonzor,3,74.0,5,9,74000
494,Chilonzor,2,55.0,3,4,26000
495,Mirzo Ulugbek,2,60.0,6,9,34000
496,Yakkasaroy,1,33.0,2,4,22000
497,Mirzo Ulugbek,2,60.0,1,5,46000
498,Mirzo Ulugbek,2,58.0,2,9,42000
499,Chilonzor,3,68.0,2,4,61000
500,Chilonzor,3,67.0,2,4,47000
501,Mirzo Ulugbek,2,77.0,4,4,65000
502,Olmzor,2,50.0,2,4,30000
503,Yangihayot,2,57.0,3,7,35000
504,Mirzo Ulugbek,3,70.0,4,4,44998
505,Yunusobod,2,60.0,7,9,35000
506,Yunusobod,2,57.0,4,9,36000
507,Yunusobod,2,57.0,4,9,35999
508,Yunusobod,2,58.0,2,5,36500
509,Yunusobod,2,68.0,9,9,36500
510,Mirzo Ulugbek,3,70.0,5,5,47000
511,Mirzo Ulugbek,3,97.0,9,9,55290
512,Mirzo Ulugbek,2,67.0,9,9,38190
513,Mirzo Ulugbek,2,56.0,3,5,32000
514,Uchtepa,2,42.0,4,5,28500
515,Mirzo Ulugbek,2,60.0,8,9,40000
516,Yakkasaroy,2,86.0,6,8,75000
517,Chilonzor,1,30.0,2,4,20200
518,Chilonzor,2,51.0,2,4,23200
519,Shayhontohur,3,90.0,4,9,105000
520,Uchtepa,1,30.0,2,4,20200
521,Chilonzor,2,51.0,3,5,24200
522,Chilonzor,3,64.0,2,5,35200
523,Chilonzor,2,51.0,2,4,25200
524,Chilonzor,1,30.0,2,4,22200
525,Chilonzor,2,51.0,3,4,26200
526,Yunusobod,2,50.0,3,4,36500
527,Yashnobod,2,66.0,1,5,28000
528,Yunusobod,2,56.0,4,4,37000
529,Yunusobod,2,57.0,3,9,37000
530,Yashnobod,1,40.0,5,8,13700
531,Yunusobod,2,71.0,4,5,38000
532,Yunusobod,2,58.0,3,5,38000
533,Olmzor,4,125.0,1,3,80000
534,Mirobod,2,40.0,1,1,22500
535,Yakkasaroy,2,60.0,4,4,45500
536,Mirzo Ulugbek,4,92.0,4,5,52000
537,Yunusobod,2,54.0,1,4,38500
538,Mirzo Ulugbek,4,91.0,3,5,50000
539,Yashnobod,1,21.0,3,4,14700
540,Uchtepa,3,72.0,1,9,44300
541,Yunusobod,2,48.0,3,4,38999
542,Shayhontohur,3,104.0,3,9,60000
543,Yashnobod,2,65.0,6,9,53000
544,Yashnobod,2,65.0,5,5,64999
545,Mirzo Ulugbek,2,62.0,5,5,36500
546,Mirzo Ulugbek,2,50.0,5,5,35000
547,Olmzor,4,86.0,5,5,55000
548,Yunusobod,2,50.0,4,4,33500
549,Mirzo Ulugbek,2,56.0,2,4,37000
550,Yakkasaroy,4,180.0,8,8,235000
551,Mirzo Ulugbek,2,60.0,2,5,38200
552,Chilonzor,3,84.0,2,5,46000
553,Mirzo Ulugbek,2,62.0,4,4,38500
554,Yunusobod,2,56.0,4,5,39000
555,Yangihayot,4,96.0,9,9,34500
556,Yunusobod,2,63.0,2,5,39999
557,Uchtepa,5,109.0,7,9,65000
558,Mirzo Ulugbek,3,100.0,2,5,128000
559,Yunusobod,2,49.0,1,4,40000
560,Uchtepa,2,47.0,4,4,30500
561,Mirobod,3,90.0,6,9,87000
562,Yakkasaroy,4,95.0,4,4,79500
563,Chilonzor,4,100.0,7,9,65000
564,Yunusobod,2,50.0,1,4,41000
565,Uchtepa,3,80.0,3,5,60000
566,Yunusobod,3,82.0,4,4,42000
567,Uchtepa,2,52.0,5,5,30000
568,Yakkasaroy,2,55.0,2,4,65000
569,Uchtepa,4,80.0,5,5,62000
570,Chilonzor,3,57.0,1,4,44000
571,Chilonzor,2,50.0,6,8,38999
572,Uchtepa,2,59.0,9,9,27000
573,Yashnobod,2,60.0,1,6,30000
574,Mirzo Ulugbek,5,140.0,3,8,98000
575,Mirobod,4,164.0,3,7,120000
576,Mirzo Ulugbek,5,135.0,1,9,82000
577,Shayhontohur,3,75.0,8,9,49000
578,Mirzo Ulugbek,3,70.0,4,5,45000
579,Chilonzor,3,70.0,5,5,41000
580,Mirobod,2,52.0,2,4,50000
581,Mirzo Ulugbek,2,50.0,4,4,28700
582,Chilonzor,3,72.0,6,9,54000
583,Mirzo Ulugbek,2,60.0,6,6,34000
584,Yunusobod,2,60.0,3,4,41500
585,Yunusobod,2,60.0,3,4,41500
586,Chilonzor,3,73.0,4,12,60000
587,Mirobod,2,65.0,4,9,80000
588,Yunusobod,3,110.0,5,8,335000
589,Yakkasaroy,3,80.0,2,10,124999
590,Mirobod,3,120.0,2,7,164500
591,Olmzor,3,75.0,4,9,62000
592,Mirzo Ulugbek,2,60.0,4,4,34000
593,Chilonzor,3,72.0,5,9,43000
594,Mirzo Ulugbek,2,62.0,6,9,35500
595,Mirzo Ulugbek,3,91.0,3,5,51000
596,Chilonzor,3,72.0,4,4,43000
597,Mirzo Ulugbek,3,95.0,5,5,50000
598,Mirzo Ulugbek,2,43.0,4,4,28500
599,Mirzo Ulugbek,5,100.0,4,4,48000
600,Chilonzor,3,90.0,1,9,65000
601,Mirzo Ulugbek,2,45.0,1,4,36000
602,Chilonzor,2,58.0,5,9,43500
603,Mirzo Ulugbek,2,60.0,8,9,38000
